sub_area,taxon,rcp,time_period,per_chg_mean,per_chg_sd
10,600024,rcp26,AA_med,0,0
10,600024,rcp26,AAA_end,0,0
10,600024,rcp85,AA_med,0,0
10,600024,rcp85,AAA_end,0,0
10,600030,rcp26,AA_med,0,0
10,600030,rcp26,AAA_end,0,0
10,600030,rcp85,AA_med,0,0
10,600030,rcp85,AAA_end,0,0
10,600066,rcp26,AA_med,0,0
10,600066,rcp26,AAA_end,0,0
10,600066,rcp85,AA_med,0,0
10,600066,rcp85,AAA_end,0,0
10,600069,rcp26,AA_med,0,0
10,600069,rcp26,AAA_end,0,0
10,600069,rcp85,AA_med,0,0
10,600069,rcp85,AAA_end,0,0
10,600118,rcp26,AA_med,0,0
10,600118,rcp26,AAA_end,0,0
10,600118,rcp85,AA_med,0,0
10,600118,rcp85,AAA_end,0,0
10,600525,rcp26,AA_med,0,0
10,600525,rcp26,AAA_end,0,0
10,600525,rcp85,AA_med,0,0
10,600525,rcp85,AAA_end,0,0
10,601278,rcp26,AA_med,0,0
10,601278,rcp26,AAA_end,0,0
10,601278,rcp85,AA_med,0,0
10,601278,rcp85,AAA_end,20,44.721359549995796
10,601342,rcp26,AA_med,0,0
10,601342,rcp26,AAA_end,0,0
10,601342,rcp85,AA_med,0,0
10,601342,rcp85,AAA_end,0,0
10,601381,rcp26,AA_med,0,0
10,601381,rcp26,AAA_end,0,0
10,601381,rcp85,AA_med,0,0
10,601381,rcp85,AAA_end,0,0
12,600024,rcp26,AA_med,0,0
12,600024,rcp26,AAA_end,0,0
12,600024,rcp85,AA_med,0,0
12,600024,rcp85,AAA_end,0,0
12,600030,rcp26,AA_med,-74.3398680895001,81.77425369624699
12,600030,rcp26,AAA_end,-121.14880744134395,129.5519599226698
12,600030,rcp85,AA_med,-86.60250070942634,114.9355811784626
12,600030,rcp85,AAA_end,-156.1548317906367,87.6892796860321
12,600066,rcp26,AA_med,0,0
12,600066,rcp26,AAA_end,0,0
12,600066,rcp85,AA_med,0,0
12,600066,rcp85,AAA_end,0,0
12,600069,rcp26,AA_med,0,0
12,600069,rcp26,AAA_end,0,0
12,600069,rcp85,AA_med,0,0
12,600069,rcp85,AAA_end,0,0
12,600118,rcp26,AA_med,0,0
12,600118,rcp26,AAA_end,0,0
12,600118,rcp85,AA_med,0,0
12,600118,rcp85,AAA_end,0,0
12,600525,rcp26,AA_med,0,0
12,600525,rcp26,AAA_end,0,0
12,600525,rcp85,AA_med,0,0
12,600525,rcp85,AAA_end,0,0
12,601278,rcp26,AA_med,0,0
12,601278,rcp26,AAA_end,0,0
12,601278,rcp85,AA_med,0,0
12,601278,rcp85,AAA_end,0,0
12,601342,rcp26,AA_med,0,0
12,601342,rcp26,AAA_end,0,0
12,601342,rcp85,AA_med,0,0
12,601342,rcp85,AAA_end,0,0
12,601381,rcp26,AA_med,0,0
12,601381,rcp26,AAA_end,0,0
12,601381,rcp85,AA_med,0,0
12,601381,rcp85,AAA_end,0,0
14,600024,rcp26,AA_med,23.192105156432113,48.708311786094576
14,600024,rcp26,AAA_end,31.233693618350237,52.58468123707722
14,600024,rcp85,AA_med,22.23175440600223,59.57751853580236
14,600024,rcp85,AAA_end,50.61350263403736,56.295130706063965
14,600030,rcp26,AA_med,73.60954650980636,92.7569057831508
14,600030,rcp26,AAA_end,51.72473180833731,89.91826408570127
14,600030,rcp85,AA_med,57.90278043236408,93.79948096708121
14,600030,rcp85,AAA_end,143.83958621007292,33.22100227998902
14,600066,rcp26,AA_med,0,0
14,600066,rcp26,AAA_end,0,0
14,600066,rcp85,AA_med,0,0
14,600066,rcp85,AAA_end,0,0
14,600069,rcp26,AA_med,17.612497149829224,35.00527292715976
14,600069,rcp26,AAA_end,27.853577242959567,52.209862806571344
14,600069,rcp85,AA_med,10.950842629116188,31.40052966945368
14,600069,rcp85,AAA_end,54.24944700090833,34.81317170214347
14,600118,rcp26,AA_med,82.86250400622237,123.15335072737186
14,600118,rcp26,AAA_end,9.298801398683409,134.96513832106854
14,600118,rcp85,AA_med,46.59946109346931,131.814446459232
14,600118,rcp85,AAA_end,21.42779077862706,157.3726539058675
14,600525,rcp26,AA_med,0,0
14,600525,rcp26,AAA_end,0,0
14,600525,rcp85,AA_med,0,0
14,600525,rcp85,AAA_end,0,0
14,601278,rcp26,AA_med,0,0
14,601278,rcp26,AAA_end,0,0
14,601278,rcp85,AA_med,0,0
14,601278,rcp85,AAA_end,0,0
14,601342,rcp26,AA_med,10.969444183847411,45.7253475425628
14,601342,rcp26,AAA_end,15.06156639380794,57.47474353416619
14,601342,rcp85,AA_med,8.11554546142507,45.98994939849122
14,601342,rcp85,AAA_end,33.95101299132998,66.02184089519551
14,601381,rcp26,AA_med,-20.954073069984663,51.054228052655034
14,601381,rcp26,AAA_end,-25.79658244278839,84.62390937409303
14,601381,rcp85,AA_med,-27.371713628439462,52.972050830150764
